,Swiss_Market,Swiss_Market_Company_Beta
0,ZURN_SW,0.07652639111921843
1,SCMN_SW,0.15678622310090626
2,SREN_SW,0.060999180805713184
3,NOVN_SW,-0.23717693393592665
4,GIVN_SW,-0.04649291873025447
5,BAER_SW,-0.03687282120770429
6,ABBN_SW,0.11704604976196467
7,GEBN_SW,0.009924986487883121
8,ROG_SW,-0.11088686166147572
9,SIKA_SW,-0.018554822058863014
10,ADEN_SW,-0.10368012249394334
11,NESN_SW,-0.11767225527484708
12,SGSN_SW,0.12454870683051272
13,UHR_SW,0.2681132563704074
14,CFR_SW,0.08301399903309398
15,LONN_SW,0.015810598018381167
16,SLHN_SW,0.0765321175706285
17,UBSG_SW,0.14216780047023475
