,Euro_Stoxx_50,Euro_Stoxx_50_Company_Beta
0,DPW_DE,0.3881732353030779
1,PHIA_AS,-0.27508572470400006
2,INGA_AS,-0.02757317128741629
3,AI_PA,0.11719564570515917
4,SAF_PA,0.24954538196975387
5,ABI_BR,-0.018887865814741764
6,ALV_DE,0.45477083711439825
7,FRE_DE,0.6851216785400409
8,ENI_MI,0.08931862353824692
9,MC_PA,0.1824720273732792
10,ORA_PA,0.09493062503716762
11,BNP_PA,0.1441854572522019
12,OR_PA,0.20686917137161726
13,BMW_DE,0.5039350365465636
14,DBK_DE,0.5983113714204027
15,BBVA_MC,0.055333866329001745
16,BAYN_DE,0.46614854008081247
17,CA_PA,0.09662399411548747
18,SU_PA,-0.05573729474725179
19,AIR_PA,0.09949734658378924
20,BN_PA,0.10229311694594882
21,G_MI,0.08741871618608056
22,DTE_DE,0.2705132869296419
23,ENEL_MI,0.10855093621024049
24,SAN_PA,0.04032854357228224
25,ITX_MC,-0.0869095341087327
26,ENGI_PA,0.11777911782380575
27,IBE_MC,0.039346597465714624
28,ASML_AS,-0.029528051841896535
