,CAC_40,CAC_40_Company_Beta
0,RI_PA,0.13234578296717273
1,ORA_PA,0.10556313637898417
2,CA_PA,0.15417730889294673
3,ML_PA,0.3197835977518376
4,VIE_PA,0.2944775490146563
5,ACA_PA,0.30797695012579224
6,MC_PA,0.35281032277897584
7,SGO_PA,0.47389198511319464
8,CAP_PA,0.2535727197545773
9,WLN_PA,0.3443911706568578
10,KER_PA,0.25421400041454767
11,ATO_PA,0.6396164961505876
12,ENGI_PA,0.12643190882486036
13,AIR_PA,0.12925801519903954
14,BN_PA,0.07499957080487944
15,DG_PA,0.27961571355250836
16,EN_PA,0.23780104126554913
17,HO_PA,0.06488563870950628
18,BNP_PA,0.4002332754913503
19,SW_PA,0.03532695077434713
20,OR_PA,0.17935410009552372
21,GLE_PA,0.22235087129745543
22,LR_PA,0.1332286411540084
23,AI_PA,0.31958331868296025
24,VIV_PA,0.28164297772377606
25,SU_PA,0.1241246454736888
26,SAN_PA,0.06127790420845157
27,AC_PA,0.24441051833601574
